"日期","收市","開市","高","低","成交量","更改%"
"2020年6月7日","9,484.6","9,669.6","9,718.9","9,417.4","335.50K","-1.91%"
"2020年5月31日","9,669.6","9,692.9","10,301.8","9,347.3","4.72M","-0.24%"
"2020年5月24日","9,692.5","9,177.9","9,729.9","8,666.1","6.17M","5.62%"
"2020年5月17日","9,177.0","9,376.6","9,930.2","8,833.6","7.89M","-2.16%"
"2020年5月10日","9,379.5","9,553.9","9,887.5","8,235.6","12.52M","-1.83%"
"2020年5月3日","9,554.6","8,966.2","10,033.0","8,553.2","9.63M","6.56%"
"2020年4月26日","8,966.3","7,540.4","9,437.5","7,520.5","8.77M","18.91%"
"2020年4月19日","7,540.4","7,230.9","7,684.6","6,771.2","12.22M","4.28%"
"2020年4月12日","7,230.8","6,867.9","7,259.4","6,520.5","7.48M","5.29%"
"2020年4月5日","6,867.8","6,857.5","7,440.3","6,686.0","8.36M","0.15%"
"2020年3月29日","6,857.4","6,233.2","7,182.7","5,872.5","9.18M","10.01%"
"2020年3月22日","6,233.7","6,186.9","6,930.2","5,710.8","10.15M","0.77%"
"2020年3月15日","6,186.2","5,182.9","6,858.1","4,477.7","14.45M","19.36%"
"2020年3月8日","5,182.7","8,887.8","8,888.0","3,869.5","16.09M","-41.69%"
"2020年3月1日","8,887.8","8,543.8","9,180.8","8,437.2","6.44M","4.03%"
"2020年2月23日","8,543.7","9,655.6","9,981.0","8,451.9","7.28M","-11.52%"
"2020年2月16日","9,655.7","9,907.4","10,230.9","9,424.3","5.93M","-2.54%"
"2020年2月9日","9,907.7","9,895.4","10,482.6","9,725.1","5.39M","0.12%"
"2020年2月2日","9,895.5","9,381.5","9,931.2","9,381.5","4.78M","5.48%"
"2020年1月26日","9,381.6","8,341.6","9,569.0","8,304.9","4.89M","12.47%"
"2020年1月19日","8,341.6","8,916.3","9,183.7","8,242.6","4.60M","-6.45%"
"2020年1月12日","8,916.3","8,023.3","9,005.1","7,973.1","6.33M","11.12%"
"2020年1月5日","8,024.1","7,376.8","8,436.4","7,345.6","6.53M","8.78%"
"2019年12月29日","7,376.8","7,321.6","7,518.9","6,884.1","4.70M","0.75%"
"2019年12月22日","7,321.5","7,156.3","7,684.0","7,128.5","5.29M","2.31%"
"2019年12月15日","7,156.2","7,080.8","7,387.7","6,462.2","5.22M","1.07%"
"2019年12月8日","7,080.8","7,510.8","7,626.0","7,043.3","3.88M","-5.73%"
"2019年12月1日","7,510.9","7,546.5","7,702.2","7,113.6","5.17M","-0.47%"
"2019年11月24日","7,546.6","7,325.0","7,825.3","6,534.8","6.29M","3.04%"
"2019年11月17日","7,324.1","8,497.4","8,631.7","6,818.5","6.19M","-13.81%"
"2019年11月10日","8,497.3","8,804.7","9,092.9","8,437.1","4.02M","-3.49%"
"2019年11月3日","8,804.5","9,300.5","9,500.4","8,722.4","4.63M","-5.33%"
"2019年10月27日","9,300.6","9,230.6","9,866.9","8,959.6","6.08M","0.76%"
"2019年10月20日","9,230.6","7,957.4","10,540.0","7,329.2","4.23M","16.00%"
"2019年10月13日","7,957.3","8,304.3","8,450.2","7,842.0","3.38M","-4.18%"
"2019年10月6日","8,304.4","8,127.3","8,751.1","7,797.0","4.00M","2.18%"
"2019年9月29日","8,127.3","8,208.0","8,486.2","7,749.0","3.23M","-0.99%"
"2019年9月22日","8,208.5","9,993.0","10,075.0","7,773.6","4.23M","-17.86%"
"2019年9月15日","9,993.0","10,337.3","10,360.5","9,707.6","2.51M","-3.33%"
"2019年9月8日","10,337.3","10,461.6","10,578.0","9,908.9","2.74M","-1.18%"
"2019年9月1日","10,461.1","9,594.7","10,896.2","9,533.6","3.62M","9.03%"
"2019年8月25日","9,594.4","10,132.1","10,568.2","9,343.0","3.29M","-5.30%"
"2019年8月18日","10,131.0","10,219.3","10,941.6","9,777.0","3.57M","-0.85%"
"2019年8月11日","10,218.1","11,314.6","11,728.4","9,580.1","4.62M","-9.69%"
"2019年8月4日","11,314.5","10,816.1","12,291.9","10,568.8","4.55M","4.61%"
"2019年7月28日","10,815.7","9,491.1","10,893.6","9,401.1","3.89M","13.94%"
"2019年7月21日","9,492.1","10,827.0","10,883.8","9,389.1","4.02M","-12.33%"
"2019年7月14日","10,826.7","11,364.3","11,448.7","9,082.6","6.29M","-4.74%"
"2019年7月7日","11,364.9","11,267.9","13,134.4","10,839.4","5.64M","0.86%"
"2019年6月30日","11,268.0","11,906.0","12,179.3","9,728.5","6.41M","-5.36%"
"2019年6月23日","11,906.5","10,721.5","13,929.8","10,493.5","7.21M","11.05%"
"2019年6月16日","10,721.7","8,812.2","11,160.5","8,771.1","5.15M","21.66%"
"2019年6月9日","8,812.5","7,901.6","8,856.7","7,516.9","4.24M","11.53%"
"2019年6月2日","7,901.4","8,545.8","8,807.7","7,480.4","4.88M","-7.54%"
"2019年5月26日","8,545.7","8,029.6","9,045.9","7,866.5","20.69M","6.46%"
"2019年5月19日","8,027.4","7,261.9","8,253.4","7,252.3","6.20M","10.53%"
"2019年5月12日","7,262.6","7,190.0","8,323.9","6,802.6","9.03M","1.01%"
"2019年5月5日","7,190.3","5,830.8","7,373.8","5,630.5","5.78M","23.31%"
"2019年4月28日","5,830.9","5,265.7","5,899.2","5,188.9","5.56M","10.73%"
"2019年4月21日","5,265.9","5,290.2","5,594.4","5,137.4","6.56M","-0.46%"
"2019年4月14日","5,290.2","5,052.0","5,327.0","4,964.2","4.90M","4.72%"
"2019年4月7日","5,051.8","5,046.1","5,404.1","4,889.2","5.83M","0.11%"
"2019年3月31日","5,046.2","4,111.8","5,278.4","4,076.8","36.99M","22.73%"
"2019年3月24日","4,111.8","4,002.6","4,138.1","3,897.9","19.14M","2.73%"
"2019年3月17日","4,002.5","4,006.4","4,064.0","3,923.8","20.06M","-0.10%"
"2019年3月10日","4,006.4","3,944.4","4,050.6","3,817.1","19.44M","1.57%"
"2019年3月3日","3,944.3","3,823.2","3,964.0","3,681.8","19.19M","3.17%"
"2019年2月24日","3,823.1","4,120.5","4,194.2","3,701.9","12.42M","-7.21%"
"2019年2月17日","4,120.4","3,616.8","4,152.6","3,607.9","5.61M","13.92%"
"2019年2月10日","3,616.8","3,661.0","3,681.1","3,580.2","3.65M","-1.22%"
"2019年2月3日","3,661.4","3,502.3","3,721.1","3,382.5","3.78M","4.54%"
"2019年1月27日","3,502.5","3,570.9","3,583.2","3,368.2","3.68M","-1.92%"
"2019年1月20日","3,570.9","3,676.2","3,699.1","3,465.2","3.16M","-2.91%"
"2019年1月13日","3,677.8","3,597.3","3,715.2","3,473.2","3.50M","2.24%"
"2019年1月6日","3,597.2","3,785.7","4,070.5","3,561.3","3.80M","-4.97%"
"2018年12月30日","3,785.4","3,708.2","3,894.8","3,658.8","3.52M","2.12%"
"2018年12月23日","3,706.8","3,964.3","4,208.2","3,560.8","4.18M","-6.50%"
"2018年12月16日","3,964.4","3,228.6","4,153.1","3,225.9","4.77M","22.79%"
"2018年12月9日","3,228.7","3,430.3","3,677.6","3,177.0","2.82M","-5.88%"
"2018年12月2日","3,430.4","4,196.2","4,316.1","3,251.8","2.98M","-18.25%"
"2018年11月25日","4,196.2","3,920.3","4,440.1","3,634.2","3.46M","7.03%"
"2018年11月18日","3,920.4","5,621.0","5,727.9","3,821.5","2.69M","-30.26%"
"2018年11月11日","5,621.8","6,427.1","6,475.9","5,384.1","1.64M","-12.53%"
"2018年11月4日","6,427.1","6,386.2","6,594.3","6,359.7","1.04M","0.64%"
"2018年10月28日","6,386.2","6,494.6","6,502.2","6,257.8","897.36K","-1.66%"
"2018年10月21日","6,494.2","6,575.9","6,643.1","6,473.7","685.44K","-1.19%"
"2018年10月14日","6,572.2","6,321.6","7,358.4","6,300.0","1.21M","3.96%"
"2018年10月7日","6,321.7","6,596.3","6,699.5","6,206.2","907.69K","-4.16%"
"2018年9月30日","6,596.3","6,603.9","6,682.3","6,034.9","64.74M","-0.12%"
"2018年9月23日","6,603.9","6,729.6","6,809.2","5,977.0","59.02M","-1.87%"
"2018年9月16日","6,729.6","6,519.0","6,833.3","6,144.5","33.27M","3.23%"
"2018年9月9日","6,519.0","6,184.3","6,867.3","6,148.8","22.18M","5.41%"
"2018年9月2日","6,184.3","7,189.6","7,409.9","6,132.3","26.79M","-13.98%"
"2018年8月26日","7,189.6","6,734.9","7,264.3","6,573.1","26.36M","6.75%"
"2018年8月19日","6,734.8","6,379.1","6,840.8","6,255.9","20.84M","5.58%"
"2018年8月12日","6,379.1","6,232.1","6,626.4","5,898.3","17.63M","2.37%"
"2018年8月5日","6,231.6","7,014.0","7,149.7","6,009.8","1.71M","-11.16%"
"2018年7月29日","7,014.3","8,231.5","8,275.4","6,949.7","1.55M","-14.81%"
"2018年7月22日","8,234.1","7,409.0","8,484.6","7,343.7","1.80M","11.14%"
"2018年7月15日","7,408.7","6,254.8","7,683.6","6,238.5","1.92M","18.45%"
"2018年7月8日","6,254.8","6,765.4","6,793.8","6,088.8","1.88M","-7.55%"
"2018年7月1日","6,765.5","6,398.5","6,805.9","6,398.5","1.03M","5.73%"
"2018年6月24日","6,398.9","6,167.9","6,498.5","5,785.3","1.34M","3.76%"
"2018年6月17日","6,167.3","6,505.8","6,839.5","5,955.0","988.81K","-5.20%"
"2018年6月10日","6,505.8","7,515.8","7,516.3","6,129.1","1.32M","-13.44%"
"2018年6月3日","7,515.8","7,646.6","7,775.0","7,391.0","868.03K","-1.71%"
"2018年5月27日","7,646.6","7,361.9","7,694.5","7,069.8","984.53K","3.88%"
"2018年5月20日","7,361.3","8,243.9","8,597.4","7,293.4","1.08M","-10.72%"
"2018年5月13日","8,245.1","8,483.6","8,758.4","8,055.5","1.14M","-2.53%"
"2018年5月6日","8,459.5","9,859.4","9,957.7","8,184.1","1.26M","-14.15%"
"2018年4月29日","9,853.5","9,352.2","9,992.8","8,851.0","1.17M","5.36%"
"2018年4月22日","9,352.4","8,923.6","9,753.1","8,669.8","1.60M","4.81%"
"2018年4月15日","8,923.1","8,004.6","9,027.7","7,852.8","1.27M","11.48%"
"2018年4月8日","8,004.4","6,905.9","8,228.0","6,633.2","1.51M","15.91%"
"2018年4月1日","6,905.7","6,939.1","7,519.3","6,460.1","1.50M","-0.47%"
"2018年3月25日","6,938.2","8,549.1","8,679.0","6,603.8","1.80M","-18.83%"
"2018年3月18日","8,547.4","7,873.2","9,173.4","7,323.3","1.75M","8.54%"
"2018年3月11日","7,874.9","8,732.2","9,892.2","7,691.7","1.84M","-10.12%"
"2018年3月4日","8,762.0","11,402.8","11,506.9","8,351.0","1.66M","-23.16%"
"2018年2月25日","11,402.3","9,703.1","11,420.7","9,330.1","1.41M","17.50%"
"2018年2月18日","9,704.3","11,073.7","11,791.5","9,394.5","1.93M","-12.36%"
"2018年2月11日","11,073.5","8,559.7","11,095.9","7,843.7","1.64M","29.37%"
"2018年2月4日","8,559.6","9,241.5","9,382.1","8,559.6","3.00M","-7.37%"
"2018年1月28日","9,241.1","11,471.2","12,112.7","7,915.8","1.89M","-19.41%"
"2018年1月21日","11,467.5","12,857.1","12,860.2","10,056.6","1.33M","-10.82%"
"2018年1月14日","12,858.9","14,291.9","14,446.1","12,858.9","1.39M","-10.03%"
"2018年1月7日","14,292.2","17,174.5","17,184.8","13,048.3","691.25K","-16.77%"
"2017年12月31日","17,172.3","12,532.4","17,252.8","12,359.4","770.83K","37.03%"
"2017年12月24日","12,531.5","14,396.6","16,514.6","11,962.1","1.04M","-12.95%"
"2017年12月17日","14,396.5","19,346.6","19,870.6","10,875.7","1.46M","-25.58%"
"2017年12月10日","19,345.5","14,840.0","19,587.7","13,031.0","1.02M","30.33%"
"2017年12月3日","14,843.4","10,912.7","17,294.8","10,578.4","1.26M","36.02%"
"2017年11月26日","10,912.7","8,754.6","11,417.8","8,746.6","919.63K","24.65%"
"2017年11月19日","8,754.7","7,781.0","8,762.0","7,675.4","551.27K","12.51%"
"2017年11月12日","7,780.9","6,339.9","8,000.2","5,493.6","1.00M","22.73%"
"2017年11月5日","6,339.9","7,363.8","7,869.1","6,197.9","1.07M","-13.91%"
"2017年10月29日","7,363.8","5,726.6","7,492.2","5,679.4","976.41K","28.59%"
"2017年10月22日","5,726.6","6,006.6","6,070.6","5,375.6","722.59K","-4.66%"
"2017年10月15日","6,006.6","5,824.7","6,187.2","5,114.9","670.51K","3.12%"
"2017年10月8日","5,824.7","4,435.8","5,852.8","4,419.4","805.69K","31.31%"
"2017年10月1日","4,435.8","4,360.6","4,477.4","4,143.4","443.24K","1.72%"
