"日期","收市","開市","高","低","成交量","更改%"
"2020年6月15日","231.65","231.99","232.23","230.79","6.02M","-0.16%"
"2020年6月14日","232.02","238.23","238.48","230.52","5.78M","-2.60%"
"2020年6月13日","238.22","237.55","238.61","234.86","5.27M","0.29%"
"2020年6月12日","237.54","230.72","239.23","228.62","7.34M","2.96%"
"2020年6月11日","230.71","247.79","249.77","227.01","12.40M","-6.89%"
"2020年6月10日","247.78","243.82","249.51","242.54","7.63M","1.62%"
"2020年6月9日","243.82","246.19","249.45","240.18","6.86M","-0.96%"
"2020年6月8日","246.18","244.56","247.11","241.30","6.55M","0.66%"
"2020年6月7日","244.56","242.00","244.94","235.44","8.10M","1.06%"
"2020年6月6日","242.00","240.27","244.43","238.38","6.62M","0.73%"
"2020年6月5日","240.23","243.37","247.50","239.70","7.75M","-1.29%"
"2020年6月4日","243.37","244.53","246.41","236.68","8.75M","-0.47%"
"2020年6月3日","244.52","237.90","244.76","233.84","8.15M","2.77%"
"2020年6月2日","237.94","248.01","253.21","227.95","12.69M","-4.05%"
"2020年6月1日","247.97","231.80","249.81","230.85","11.97M","6.97%"
"2020年5月31日","231.81","243.63","245.33","230.31","12.43M","-4.85%"
"2020年5月30日","243.63","220.66","246.55","218.86","14.34M","10.41%"
"2020年5月29日","220.66","220.14","224.52","217.84","12.36M","0.21%"
"2020年5月28日","220.18","208.20","220.33","204.79","12.51M","5.77%"
"2020年5月27日","208.18","200.99","208.18","200.85","10.28M","3.57%"
"2020年5月26日","201.00","204.13","204.90","197.30","10.44M","-1.53%"
"2020年5月25日","204.13","199.99","205.52","198.57","10.63M","2.08%"
"2020年5月24日","199.97","206.65","210.40","199.97","11.89M","-3.22%"
"2020年5月23日","206.62","207.35","211.03","204.97","9.91M","-0.35%"
"2020年5月22日","207.35","198.75","209.04","196.68","12.13M","4.33%"
"2020年5月21日","198.75","210.00","211.58","192.11","14.36M","-5.35%"
"2020年5月20日","209.99","214.52","215.28","207.03","12.19M","-2.11%"
"2020年5月19日","214.51","214.88","215.75","209.79","13.96M","-0.17%"
"2020年5月18日","214.87","207.00","217.00","207.00","17.73M","3.80%"
"2020年5月17日","207.00","200.51","209.79","199.77","15.78M","3.23%"
"2020年5月16日","200.51","194.85","203.12","193.48","15.52M","2.91%"
"2020年5月15日","194.85","203.29","204.02","192.61","16.62M","-4.15%"
"2020年5月14日","203.30","199.58","205.82","196.21","20.75M","1.86%"
"2020年5月13日","199.58","189.82","200.82","188.59","17.47M","5.13%"
"2020年5月12日","189.84","185.82","192.04","185.68","15.58M","2.09%"
"2020年5月11日","185.96","187.77","193.26","177.43","26.74M","-0.97%"
"2020年5月10日","187.78","210.19","210.19","180.70","35.98M","-10.68%"
"2020年5月9日","210.22","211.47","214.50","208.83","20.90M","-0.58%"
"2020年5月8日","211.45","212.00","216.44","207.25","23.08M","-0.26%"
"2020年5月7日","212.00","199.05","214.00","197.36","26.71M","6.51%"
"2020年5月6日","199.04","205.36","210.62","198.79","24.03M","-3.08%"
"2020年5月5日","205.36","206.59","211.33","201.75","21.05M","-0.61%"
"2020年5月4日","206.61","209.85","210.63","195.25","27.21M","-1.53%"
"2020年5月3日","209.83","213.96","218.74","205.50","23.12M","-1.93%"
"2020年5月2日","213.96","212.00","215.15","210.51","18.31M","0.92%"
"2020年5月1日","212.00","206.23","216.99","206.06","23.08M","2.80%"
"2020年4月30日","206.22","215.42","227.05","202.59","35.46M","-4.26%"
"2020年4月29日","215.40","196.55","218.32","196.45","32.87M","9.59%"
"2020年4月28日","196.55","196.13","197.51","192.47","21.81M","0.21%"
"2020年4月27日","196.14","197.35","198.80","190.87","23.33M","-0.61%"
"2020年4月26日","197.35","194.01","199.30","192.52","23.13M","1.72%"
"2020年4月25日","194.01","187.57","197.35","186.03","21.87M","3.43%"
"2020年4月24日","187.58","185.48","189.33","185.19","19.84M","1.14%"
"2020年4月23日","185.46","182.72","192.40","178.54","28.73M","1.50%"
"2020年4月22日","182.72","170.79","183.71","169.93","23.81M","6.99%"
"2020年4月21日","170.79","170.37","174.48","168.31","23.63M","0.23%"
"2020年4月20日","170.40","180.12","186.24","167.51","33.68M","-5.40%"
"2020年4月19日","180.13","187.47","188.23","177.24","23.27M","-3.90%"
"2020年4月18日","187.45","170.63","189.22","170.61","24.75M","9.85%"
"2020年4月17日","170.63","172.32","174.52","168.55","20.05M","-0.97%"
"2020年4月16日","172.31","152.90","174.28","148.91","32.99M","12.69%"
"2020年4月15日","152.90","158.43","161.06","152.44","20.70M","-3.50%"
"2020年4月14日","158.45","156.36","161.57","155.52","21.20M","1.33%"
"2020年4月13日","156.38","158.76","158.85","150.60","25.30M","-1.48%"
"2020年4月12日","158.73","158.18","164.75","155.17","22.60M","0.35%"
"2020年4月11日","158.18","157.85","161.37","154.01","19.07M","0.20%"
"2020年4月10日","157.86","169.67","170.10","152.52","28.35M","-6.97%"
"2020年4月9日","169.68","173.01","173.20","165.91","20.66M","-1.92%"
"2020年4月8日","173.00","164.71","174.23","163.73","24.31M","5.03%"
"2020年4月7日","164.71","171.07","175.78","162.75","35.79M","-3.71%"
"2020年4月6日","171.06","142.58","171.24","142.55","37.89M","19.97%"
"2020年4月5日","142.58","144.03","145.26","140.84","18.17M","-0.99%"
"2020年4月4日","144.01","141.13","145.71","139.36","19.75M","2.03%"
"2020年4月3日","141.14","141.29","146.46","138.01","23.34M","-0.11%"
"2020年4月2日","141.30","135.65","148.91","135.26","29.42M","4.16%"
"2020年4月1日","135.66","132.88","136.56","128.93","19.45M","2.10%"
"2020年3月31日","132.86","132.15","135.14","130.54","17.30M","0.54%"
"2020年3月30日","132.15","125.24","134.72","125.02","20.71M","5.52%"
"2020年3月29日","125.24","131.02","131.74","124.84","16.33M","-4.42%"
"2020年3月28日","131.03","131.74","132.68","125.48","21.03M","-0.54%"
"2020年3月27日","131.74","138.38","140.99","131.09","18.18M","-4.80%"
"2020年3月26日","138.38","136.08","139.22","133.69","17.71M","1.70%"
"2020年3月25日","136.07","138.59","141.88","133.06","24.15M","-1.84%"
"2020年3月24日","138.62","136.00","142.90","132.67","27.10M","1.91%"
"2020年3月23日","136.02","122.46","136.93","120.20","28.62M","11.12%"
"2020年3月22日","122.41","132.59","136.86","121.37","25.25M","-7.67%"
"2020年3月21日","132.58","133.32","137.33","126.01","27.00M","-0.56%"
"2020年3月20日","133.32","135.43","151.85","118.07","38.74M","-1.56%"
"2020年3月19日","135.43","117.76","141.05","115.59","33.78M","15.00%"
"2020年3月18日","117.77","115.95","117.91","110.16","25.80M","1.47%"
"2020年3月17日","116.06","111.06","120.60","109.67","27.09M","4.54%"
"2020年3月16日","111.02","124.35","124.38","102.44","40.25M","-10.72%"
"2020年3月15日","124.35","122.67","132.13","120.93","26.24M","1.35%"
"2020年3月14日","122.69","134.02","134.58","121.27","26.83M","-8.43%"
"2020年3月13日","133.99","107.87","138.86","88.50","60.70M","24.18%"
"2020年3月12日","107.90","194.57","195.40","102.83","53.51M","-44.55%"
"2020年3月11日","194.58","200.61","202.96","182.15","21.26M","-2.98%"
"2020年3月10日","200.56","202.88","205.62","196.17","21.87M","-1.13%"
"2020年3月9日","202.85","199.21","208.23","190.73","30.27M","1.85%"
"2020年3月8日","199.16","237.30","237.30","196.71","24.76M","-16.08%"
"2020年3月7日","237.32","244.87","251.55","236.87","16.90M","-3.10%"
"2020年3月6日","244.90","228.46","244.98","227.71","17.74M","7.20%"
"2020年3月5日","228.45","224.36","233.96","224.34","17.82M","1.81%"
"2020年3月4日","224.38","223.94","228.66","220.74","14.65M","0.20%"
"2020年3月3日","223.94","231.90","232.37","220.34","18.48M","-3.42%"
"2020年3月2日","231.87","217.96","234.24","216.23","18.12M","6.37%"
"2020年3月1日","217.99","217.51","227.44","213.00","17.17M","0.21%"
"2020年2月29日","217.52","226.94","232.87","217.43","16.34M","-4.15%"
"2020年2月28日","226.93","227.60","234.55","214.47","24.11M","-0.26%"
"2020年2月27日","227.53","224.30","238.07","210.36","28.83M","1.44%"
"2020年2月26日","224.30","246.97","250.05","216.39","29.55M","-9.18%"
"2020年2月25日","246.96","265.63","266.17","245.75","20.31M","-7.04%"
"2020年2月24日","265.65","274.72","276.81","258.15","19.96M","-3.30%"
"2020年2月23日","274.72","261.65","275.30","261.24","16.04M","5.00%"
"2020年2月22日","261.64","265.14","266.71","256.97","13.40M","-1.31%"
"2020年2月21日","265.11","257.32","267.80","254.15","17.46M","3.00%"
"2020年2月20日","257.39","259.07","264.22","246.46","22.07M","-0.67%"
"2020年2月19日","259.12","282.33","285.75","253.88","20.76M","-8.20%"
"2020年2月18日","282.26","267.71","285.59","259.30","24.15M","5.46%"
"2020年2月17日","267.63","259.92","268.45","242.11","25.61M","2.94%"
"2020年2月16日","259.99","264.87","273.81","237.89","24.82M","-1.84%"
"2020年2月15日","264.87","285.17","287.93","262.45","22.26M","-7.15%"
"2020年2月14日","285.25","268.71","286.34","260.78","19.99M","6.14%"
"2020年2月13日","268.75","265.59","277.39","257.09","25.05M","1.19%"
"2020年2月12日","265.58","236.75","274.89","236.73","23.79M","12.18%"
"2020年2月11日","236.76","222.94","238.61","218.22","17.39M","6.19%"
"2020年2月10日","222.95","228.61","229.28","217.02","16.50M","-2.47%"
"2020年2月9日","228.59","223.23","230.38","223.07","14.28M","2.40%"
"2020年2月8日","223.23","223.47","227.55","213.75","15.98M","-0.13%"
"2020年2月7日","223.51","213.15","224.53","213.14","16.73M","4.86%"
"2020年2月6日","213.16","203.84","216.14","201.29","16.44M","4.58%"
"2020年2月5日","203.83","188.94","207.51","188.26","14.67M","7.89%"
"2020年2月4日","188.93","189.80","191.48","188.93","11.56M","-0.45%"
"2020年2月3日","189.79","188.48","194.92","187.16","11.95M","0.69%"
"2020年2月2日","188.50","183.58","193.25","179.49","14.54M","2.65%"
"2020年2月1日","183.64","179.88","184.17","179.36","13.24M","2.08%"
"2020年1月31日","179.91","184.60","185.67","175.46","11.77M","-2.54%"
"2020年1月30日","184.59","173.86","186.76","171.20","13.02M","6.17%"
"2020年1月29日","173.86","175.78","178.41","173.76","11.27M","-1.07%"
"2020年1月28日","175.74","170.27","176.06","170.27","12.63M","3.21%"
"2020年1月27日","170.27","167.91","171.97","165.45","12.54M","1.41%"
"2020年1月26日","167.90","160.40","168.00","159.55","9.82M","4.65%"
"2020年1月25日","160.44","162.56","162.72","157.87","9.63M","-1.29%"
"2020年1月24日","162.55","162.80","164.27","155.65","14.88M","-0.15%"
"2020年1月23日","162.80","168.15","168.25","159.78","14.86M","-3.17%"
"2020年1月22日","168.13","169.41","171.27","166.19","11.30M","-0.76%"
"2020年1月21日","169.41","166.87","169.79","165.53","11.52M","1.52%"
"2020年1月20日","166.87","166.92","169.24","161.61","11.30M","-0.03%"
"2020年1月19日","166.92","174.17","177.77","162.04","15.84M","-4.17%"
"2020年1月18日","174.19","170.18","179.29","165.34","17.42M","2.33%"
"2020年1月17日","170.22","164.39","173.96","162.33","18.57M","3.57%"
"2020年1月16日","164.36","166.44","167.18","159.08","16.24M","-1.26%"
"2020年1月15日","166.45","166.07","166.45","159.74","16.66M","0.23%"
"2020年1月14日","166.07","143.59","169.73","143.59","22.85M","15.65%"
"2020年1月13日","143.60","146.50","146.87","142.64","10.26M","-1.95%"
"2020年1月12日","146.46","142.65","146.46","142.00","10.01M","2.66%"
"2020年1月11日","142.67","144.81","147.68","142.23","12.46M","-1.48%"
"2020年1月10日","144.81","137.93","144.86","135.69","13.37M","4.99%"
"2020年1月9日","137.92","140.80","141.60","135.85","11.38M","-2.05%"
"2020年1月8日","140.81","143.01","147.55","137.61","13.71M","-1.56%"
"2020年1月7日","143.04","144.09","145.13","139.22","13.58M","-0.73%"
"2020年1月6日","144.08","135.59","144.27","135.17","14.36M","6.26%"
"2020年1月5日","135.59","134.32","138.33","134.32","12.19M","0.94%"
"2020年1月4日","134.33","134.30","135.57","132.76","11.16M","0.04%"
"2020年1月3日","134.27","127.19","134.86","126.05","15.67M","5.56%"
"2020年1月2日","127.19","130.75","130.77","126.74","11.45M","-2.72%"
"2020年1月1日","130.75","129.21","132.97","128.81","10.35M","1.19%"
"2019年12月31日","129.21","131.87","133.53","128.27","12.89M","-1.99%"
"2019年12月30日","131.83","134.40","136.16","130.91","12.47M","-1.91%"
"2019年12月29日","134.40","128.35","137.74","127.67","15.69M","4.71%"
"2019年12月28日","128.35","126.40","129.73","125.98","12.13M","1.54%"
"2019年12月27日","126.41","125.92","127.04","123.18","12.25M","0.38%"
"2019年12月26日","125.93","125.24","132.12","124.53","15.55M","0.55%"
"2019年12月25日","125.24","128.05","128.17","124.18","13.23M","-2.20%"
"2019年12月24日","128.05","128.07","129.77","127.07","11.44M","-0.02%"
"2019年12月23日","128.08","132.20","134.92","126.55","14.73M","-3.11%"
"2019年12月22日","132.19","127.61","133.04","127.09","13.67M","3.59%"
"2019年12月21日","127.61","128.69","128.79","126.85","9.64M","-0.85%"
"2019年12月20日","128.70","128.42","129.66","126.31","12.29M","0.22%"
"2019年12月19日","128.42","132.93","133.90","126.12","14.22M","-3.39%"
"2019年12月18日","132.92","122.06","133.93","117.14","20.23M","8.89%"
"2019年12月17日","122.06","132.78","132.96","120.63","17.04M","-8.07%"
"2019年12月16日","132.78","142.55","142.75","131.00","17.60M","-6.84%"
"2019年12月15日","142.53","142.03","143.87","140.30","11.31M","0.35%"
"2019年12月14日","142.03","144.95","145.17","141.40","11.15M","-2.02%"
"2019年12月13日","144.96","145.04","145.43","143.51","10.95M","-0.05%"
"2019年12月12日","145.03","143.51","145.82","140.00","12.23M","1.06%"
"2019年12月11日","143.51","145.88","146.57","142.53","10.93M","-1.61%"
"2019年12月10日","145.86","147.88","148.48","144.49","11.12M","-1.37%"
"2019年12月9日","147.88","151.17","151.75","147.02","9.67M","-2.18%"
"2019年12月8日","151.17","148.25","152.22","147.09","9.28M","1.95%"
"2019年12月7日","148.28","148.88","149.76","147.54","8.11M","-0.41%"
"2019年12月6日","148.89","148.70","149.36","147.01","8.77M","0.13%"
"2019年12月5日","148.69","145.79","149.08","144.64","9.99M","1.99%"
"2019年12月4日","145.79","147.81","151.02","143.95","12.85M","-1.37%"
"2019年12月3日","147.82","148.89","149.84","146.56","8.73M","-0.72%"
"2019年12月2日","148.89","151.06","151.63","147.49","9.18M","-1.43%"
"2019年12月1日","151.04","151.93","152.33","146.26","9.91M","-0.60%"
"2019年11月30日","151.95","154.57","155.19","150.45","8.79M","-1.68%"
"2019年11月29日","154.55","151.07","157.27","150.64","10.49M","2.30%"
"2019年11月28日","151.07","152.71","154.68","149.71","9.66M","-1.07%"
"2019年11月27日","152.70","147.60","155.43","141.91","13.34M","3.44%"
"2019年11月26日","147.61","145.88","149.81","144.04","10.84M","1.17%"
"2019年11月25日","145.90","140.58","151.26","131.78","17.98M","3.72%"
"2019年11月24日","140.66","152.46","153.24","139.79","11.39M","-7.74%"
"2019年11月23日","152.46","149.79","154.25","146.60","11.84M","1.77%"
"2019年11月22日","149.80","161.46","163.06","139.13","21.12M","-7.22%"
